"WAVEID","WAVEDTLID","PRINTDATE","SCATTERFINPACKS","WHOLEFINPACKS"
"4417140","9239359","2024/1/5 16:12:52","1","0"
"4417191","9239440","2024/1/5 16:16:15","1","20"
"4415523","9236458","2024/1/5 16:26:48","1","0"
"4417627","9240205","2024/1/5 16:26:50","0","1"
"4417389","9239857","2024/1/5 16:31:21","1","0"
"4417735","9240364","2024/1/5 16:31:24","0","1"
"4417129","9239347","2024/1/5 16:33:34","1","4"
"4417732","9240361","2024/1/5 16:34:58","1","0"
"4417728","9240354","2024/1/5 16:40:28","1","0"
"4417727","9240353","2024/1/5 16:48:17","1","11"
"4417822","9240519","2024/1/5 16:50:40","1","0"
"4417730","9240359","2024/1/5 17:05:51","3","0"
"4417815","9240508","2024/1/5 17:08:59","1","0"
"4417818","9240511","2024/1/5 17:09:24","2","0"
"4417942","9240696","2024/1/5 17:10:13","0","2"
"4417814","9240507","2024/1/5 17:11:14","1","0"
"4417820","9240516","2024/1/5 17:16:54","1","0"
"4417943","9240697","2024/1/5 17:20:25","1","0"
"4417940","9240694","2024/1/5 17:21:38","1","0"
"4418018","9240841","2024/1/5 17:22:49","1","0"
"4418021","9240844","2024/1/5 17:23:15","1","0"
"4418032","9240861","2024/1/5 17:34:52","1","0"
"4417941","9240695","2024/1/5 17:44:49","1","0"
"4418016","9240839","2024/1/5 17:47:05","1","0"
"4418014","9240837","2024/1/5 17:48:49","1","0"
"4418011","9240834","2024/1/5 17:49:16","1","0"
"4418140","9241033","2024/1/5 17:49:53","0","4"
"4418131","9241024","2024/1/5 17:51:04","1","0"
"4418141","9241034","2024/1/5 17:51:41","0","2"
"4418134","9241027","2024/1/5 17:52:06","1","0"
"4418144","9241039","2024/1/5 17:52:09","1","0"
"4418136","9241029","2024/1/5 17:53:20","0","1"
"4418142","9241035","2024/1/5 17:53:46","0","2"
"4418244","9241226","2024/1/5 17:57:02","1","0"
"4417134","9239353","2024/1/5 17:57:27","2","0"
"4418009","9240832","2024/1/5 18:00:30","1","0"
