"waveid","wavedtlid","print_time","out_scatter_box_count","out_whole_qty"
4432742,9269116,"2024-01-12 10:35:20",1,0
4435081,9273727,"2024-01-12 10:35:57",1,0
4433408,9270414,"2024-01-12 10:36:12",1,0
4433408,9270419,"2024-01-12 10:37:00",1,0
4432742,9269115,"2024-01-12 10:40:26",2,0
4433403,9270392,"2024-01-12 10:41:37",1,0
4433352,9270232,"2024-01-12 10:43:44",1,0
4433408,9270418,"2024-01-12 10:43:47",1,0
4433403,9270394,"2024-01-12 10:44:02",1,0
4435081,9273731,"2024-01-12 10:47:51",2,0
4433408,9270420,"2024-01-12 10:48:05",1,0
4433352,9270227,"2024-01-12 10:49:17",2,0
4434789,9273033,"2024-01-12 11:03:51",1,0
4434789,9273037,"2024-01-12 11:03:55",1,0
4434789,9273043,"2024-01-12 11:04:09",1,0
4433352,9270228,"2024-01-12 11:05:21",2,0
4434789,9273041,"2024-01-12 11:05:35",1,0
4433408,9270415,"2024-01-12 11:30:18",1,0
4434789,9273035,"2024-01-12 11:30:21",2,0
4433352,9270230,"2024-01-12 11:30:36",1,0
4433408,9270417,"2024-01-12 11:30:39",1,0
4433352,9270229,"2024-01-12 11:30:54",2,0
4436315,9275964,"2024-01-12 12:11:40",1,0
4436315,9275962,"2024-01-12 12:13:28",1,0
